iphone_model,year,chip,ram_gb,neural_engine_tops,memory_bandwidth_gbs,notes,source
iphone_11_pro,2019,A13_Bionic,4,5,34.1,"RAM from iPhone 11 Pro Wikipedia; bandwidth from CPU-Monkey A13; TOPS from Apple A13 press release",https://en.wikipedia.org/wiki/IPhone_11_Pro; https://www.cpu-monkey.com/en/cpu-apple_a13_bionic; https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/
iphone_12_pro,2020,A14_Bionic,6,11,34.1,"RAM from iPhone 12 Pro Wikipedia; bandwidth from CPU-Monkey A14; TOPS from Apple A14 press release",https://en.wikipedia.org/wiki/IPhone_12_Pro; https://www.cpu-monkey.com/en/cpu-apple_a14_bionic; https://www.apple.com/newsroom/2020/10/apple-introduces-iphone-12-pro-and-iphone-12-pro-max-with-5g/
iphone_13_pro,2021,A15_Bionic,6,15.8,34.1,"RAM from iPhone 13 Pro Wikipedia; bandwidth from CPU-Monkey A15; TOPS from Apple A15 press release",https://en.wikipedia.org/wiki/IPhone_13_Pro; https://www.cpu-monkey.com/en/cpu-apple_a15_bionic_5_gpu; https://www.apple.com/newsroom/2022/09/apple-introduces-iphone-14-and-iphone-14-plus/
iphone_14_pro,2022,A16_Bionic,6,17,51.2,"RAM and bandwidth from iPhone 14 Pro Wikipedia; TOPS from Apple A16 press release",https://en.wikipedia.org/wiki/IPhone_14_Pro; https://www.apple.com/gn/newsroom/2022/09/apple-debuts-iphone-14-pro-and-iphone-14-pro-max/
iphone_15_pro,2023,A17_Pro,8,,51.2,"RAM from iPhone 15 Pro Wikipedia; bandwidth from Comparigon A17 Pro",https://en.wikipedia.org/wiki/IPhone_15_Pro; https://comparigon.com/mobilesocs/a17-pro
iphone_16_pro,2024,A18_Pro,8,,59.9,"RAM from iPhone 16 Pro Wikipedia; bandwidth estimated as 51.2*1.17 using Apple A18 Pro +17% memory bandwidth claim",https://en.wikipedia.org/wiki/IPhone_16_Pro; https://www.apple.com/newsroom/2024/09/apple-debuts-iphone-16-pro-and-iphone-16-pro-max/; https://comparigon.com/mobilesocs/a17-pro
